date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:27	21597/21597	---MCZ	200	added ('OK')	text/html	etag:W/%22567d1a69-545d%22	http://nodeguide.com/beginner.html	/home/sensei/Desktop/nodejs/felix/nodeguide.com/beginner.html	(from )
01:10:32	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20May%202017%2019:40:32%20GMT	http://nodeguide.com/robots.txt		(from )
01:10:39	1404/1404	---M--	200	added ('OK')	text/css	etag:%22567d1a46-57c%22	http://nodeguide.com/css/screen.css	/home/sensei/Desktop/nodejs/felix/nodeguide.com/css/screen.css	(from http://nodeguide.com/beginner.html)
01:10:40	4193/4193	---MCZ	200	added ('OK')	text/html	etag:W/%22567d1a6a-1061%22	http://nodeguide.com/index.html	/home/sensei/Desktop/nodejs/felix/nodeguide.com/index.html	(from http://nodeguide.com/beginner.html)
01:10:40	3664/3664	---MCZ	200	added ('OK')	text/html	etag:W/%22567d1a69-e50%22	http://nodeguide.com/object_oriented_programming.html	/home/sensei/Desktop/nodejs/felix/nodeguide.com/object_oriented_programming.html	(from http://nodeguide.com/beginner.html)
01:10:45	1753/1753	---MCZ	200	added ('OK')	text/html	etag:W/%22567d1a69-6d9%22	http://nodeguide.com/test_driven_development.html	/home/sensei/Desktop/nodejs/felix/nodeguide.com/test_driven_development.html	(from http://nodeguide.com/beginner.html)
01:10:45	21365/21365	---MCZ	200	added ('OK')	text/html	etag:W/%22567d1a69-5375%22	http://nodeguide.com/style.html	/home/sensei/Desktop/nodejs/felix/nodeguide.com/style.html	(from )
01:10:45	14038/14038	---MCZ	200	added ('OK')	text/html	etag:W/%22567d1a69-36d6%22	http://nodeguide.com/community.html	/home/sensei/Desktop/nodejs/felix/nodeguide.com/community.html	(from )
01:10:45	11230/11230	---MCZ	200	added ('OK')	text/html	etag:W/%22567d1a6a-2bde%22	http://nodeguide.com/convincing_the_boss.html	/home/sensei/Desktop/nodejs/felix/nodeguide.com/convincing_the_boss.html	(from )
01:10:45	120/120	---M-Z	410	error ('Gone')	text/plain	date:Wed,%2031%20May%202017%2019:40:45%20GMT	http://search.twitter.com/search?q=%23nodejs%20OR%20node.js	/home/sensei/Desktop/nodejs/felix/search.twitter.com/search.881d4.delayed	(from http://nodeguide.com/community.html)
01:10:47	57/57	---M-Z	200	added ('OK')	text/plain	date:Wed,%2031%20May%202017%2019:40:46%20GMT	http://search.twitter.com/robots.txt		(from http://nodeguide.com/community.html)
